event_id,person_id,role,description
16742,1644895,conflict,
22448,1644904,conflict,
17765,1644953,conflict,
8130,1644989,conflict,
25574,1645024,conflict,
8098,1645067,conflict,
22445,1645077,conflict,
5244,1645077,conflict,
25279,1645179,conflict,
14120,1645179,conflict,
5265,1645179,conflict,
13851,1645179,conflict,
8145,1645179,conflict,
16785,1645197,conflict,
25303,1645240,conflict,
14208,1645255,conflict,
16785,1645259,conflict,
18688,1645276,conflict,
9882,1645276,conflict,
5377,1645276,conflict,
16785,1645280,conflict,
19596,1645332,conflict,
18901,1645347,significant_event,
16949,1645348,conflict,
22448,1645361,conflict,
16796,1645422,conflict,
19588,1645441,conflict,
8327,1645493,conflict,
22713,1645493,conflict,
22665,1645493,conflict,
8115,1645493,conflict,
25286,1645579,conflict,
5397,1645621,conflict,
16841,1645621,conflict,
5234,1645621,conflict,
22657,1645621,conflict,
14070,1645661,conflict,
11056,1645661,conflict,
22512,1645661,conflict,
19868,1645740,conflict,
25286,1645743,conflict,
19665,1645743,conflict,
25286,1645750,conflict,
22559,1645769,conflict,
11154,1645769,conflict,
17223,1645769,conflict,
5963,1645769,conflict,
20216,1645769,conflict,
8521,1645769,conflict,
22478,1645800,conflict,
22512,1645806,conflict,
17238,1645806,conflict,
20225,1645806,conflict,
19588,1645863,conflict,
22674,1645943,conflict,
16949,1645943,conflict,
22597,1645943,conflict,
5194,1645943,conflict,
9122,1646066,conflict,
26207,1646066,conflict,
22448,1646090,conflict,
8115,1646251,conflict,
22448,1646276,conflict,
14108,1646302,conflict,
16750,1646321,conflict,
16792,1646558,conflict,
16755,1646558,conflict,
5194,1646558,conflict,
19613,1646563,conflict,
25301,1646563,conflict,
22448,1646565,conflict,
11019,1646578,conflict,
16755,1646588,conflict,
19807,1646588,conflict,
25389,1646674,conflict,
8121,1646674,conflict,
26557,1646674,conflict,
22470,1646711,conflict,
25473,1646939,conflict,
19797,1646979,conflict,
19613,1647027,conflict,
20235,1647134,conflict,
19649,1647168,conflict,
22665,1647184,conflict,
16755,1647226,conflict,
25800,1647328,conflict,
11007,1647555,participant_in,
22478,1647589,conflict,
16742,1647589,conflict,
16785,1647589,conflict,
25303,1647589,conflict,
22500,1647721,conflict,
13851,1647721,conflict,
22478,1647721,conflict,
16785,1647789,conflict,
8547,1648009,conflict,
11019,1648009,conflict,
15658,1648009,conflict,
17331,1648009,conflict,
20607,1648009,conflict,
8204,1648009,conflict,
16755,1648121,conflict,
16755,1648128,conflict,
5243,1648167,conflict,
17478,1648281,conflict,
18211,1648281,conflict,
10587,1648281,conflict,
25292,1648457,conflict,
8185,1648540,conflict,
16755,1648627,conflict,
25763,1648664,conflict,
16755,1648716,conflict,
16792,1648720,conflict,
16755,1648720,conflict,
11282,1648746,conflict,
22868,1648753,participant_in,
19866,1648760,conflict,
22500,1648783,conflict,
22742,1648792,conflict,
25303,1648793,conflict,
11030,1648793,conflict,
8143,1648793,conflict,
19606,1648795,conflict,
16742,1648795,conflict,
23390,1648798,conflict,
17648,1648798,conflict,
22500,1648804,conflict,
11282,1648809,conflict,
8342,1648809,conflict,
19876,1648809,conflict,
22472,1648830,conflict,
11014,1648830,conflict,
11013,1648830,conflict,
16742,1648859,conflict,
16755,1648864,conflict,
19614,1648864,conflict,
17071,1648864,conflict,
17048,1648864,conflict,
5556,1648864,conflict,
17003,1648864,conflict,
19590,1648864,conflict,
13832,1648864,conflict,
25307,1648864,conflict,
19755,1648864,conflict,
22540,1648864,conflict,
23028,1648864,conflict,
16825,1648864,conflict,
11069,1648864,conflict,
8380,1648864,conflict,
8170,1648864,conflict,
9040,1648864,conflict,
8506,1648864,conflict,
8588,1648864,conflict,
16792,1648892,conflict,
16755,1648892,conflict,
16785,1648905,conflict,
8346,1648912,conflict,
25409,1648934,conflict,
25338,1648967,conflict,
16922,1648993,conflict,
22529,1649170,conflict,
13873,1649170,conflict,
16764,1649170,conflict,
8170,1649170,conflict,
11109,1649170,conflict,
19665,1649170,conflict,
25286,1649182,conflict,
8131,1649190,conflict,
26756,1649190,conflict,
14094,1649281,conflict,
19589,1649301,conflict,
25314,1649301,conflict,
13963,1649301,conflict,
5194,1649342,conflict,
19589,1649381,conflict,
22716,1649408,conflict,
16755,1649410,conflict,
16792,1649410,conflict,
13915,1649410,conflict,
26149,1649410,conflict,
8736,1649410,conflict,
19625,1649417,conflict,
16792,1649456,conflict,
16755,1649456,conflict,
5833,1649478,conflict,
22512,1649505,conflict,
16741,1649550,conflict,
25286,1649563,conflict,
19866,1649563,conflict,
11595,1649563,conflict,
17097,1649568,conflict,
26680,1649568,conflict,
25423,1649581,conflict,
8025,1649581,conflict,
22448,1649603,conflict,
25400,1649607,conflict,
19625,1649619,conflict,
17215,1649684,conflict,
19589,1649688,conflict,
8736,1649706,conflict,
8686,1649741,conflict,
16755,1649752,conflict,
21036,1649870,participant_in,
5326,1649899,conflict,
11288,1649925,conflict,
16755,1649927,conflict,
11007,1650129,participant_in,
16742,1650200,conflict,
22500,1650211,conflict,
16785,1650300,conflict,
13840,1650383,conflict,
19596,1650390,conflict,
19589,1650398,conflict,
25279,1650398,conflict,
19649,1650407,conflict,
22472,1650430,conflict,
16755,1650456,conflict,
22478,1650467,conflict,
19589,1650480,conflict,
16741,1650480,conflict,
11007,1650513,participant_in,
19589,1650526,conflict,
8554,1650526,conflict,
27728,1650540,conflict,
25358,1650540,conflict,
16368,1650540,conflict,
16785,1650573,conflict,
13888,1650619,conflict,
19606,1650684,conflict,
14115,1650702,conflict,
16742,1650802,conflict,
5283,1650838,conflict,
16742,1650872,conflict,
11007,1651173,participant_in,
